date,temp
8/12/21 9:07,23.292
8/12/21 9:08,24.158
8/12/21 9:09,24.158
8/12/21 9:10,24.158
8/12/21 9:11,24.062
8/12/21 9:12,23.869
8/12/21 9:13,23.677
8/12/21 9:14,23.581
8/12/21 9:15,23.388
8/12/21 9:16,23.581
8/12/21 9:17,23.581
8/12/21 9:18,23.484
8/12/21 9:19,23.484
8/12/21 9:20,23.484
8/12/21 9:21,23.484
8/12/21 9:22,23.581
8/12/21 9:23,23.581
8/12/21 9:24,23.581
8/12/21 9:25,23.581
8/12/21 9:26,23.484
8/12/21 9:27,23.581
8/12/21 9:28,23.581
8/12/21 9:29,23.773
8/12/21 9:30,25.513
8/12/21 9:31,26.39
8/12/21 9:32,26.879
8/12/21 9:33,27.173
8/12/21 9:34,27.37
8/12/21 9:35,27.468
8/12/21 9:36,27.567
8/12/21 9:37,27.567
8/12/21 9:38,27.567
8/12/21 9:39,27.665
8/12/21 9:40,27.764
8/12/21 9:41,27.764
8/12/21 9:42,27.862
8/12/21 9:43,27.862
8/12/21 9:44,27.862
8/12/21 9:45,27.862
8/12/21 9:46,27.862
8/12/21 9:47,27.862
8/12/21 9:48,27.862
8/12/21 9:49,27.862
8/12/21 9:50,27.764
8/12/21 9:51,27.764
8/12/21 9:52,27.764
8/12/21 9:53,27.764
8/12/21 9:54,27.764
8/12/21 9:55,27.764
8/12/21 9:56,27.764
8/12/21 9:57,27.764
8/12/21 9:58,27.764
8/12/21 9:59,27.665
8/12/21 10:00,27.665
8/12/21 10:01,27.764
8/12/21 10:02,27.764
8/12/21 10:03,27.862
8/12/21 10:04,27.961
8/12/21 10:05,27.961
8/12/21 10:06,27.961
8/12/21 10:07,27.961
8/12/21 10:08,27.961
8/12/21 10:09,27.961
8/12/21 10:10,27.961
8/12/21 10:11,27.961
8/12/21 10:12,27.961
8/12/21 10:13,27.961
8/12/21 10:14,27.961
8/12/21 10:15,27.961
8/12/21 10:16,27.862
8/12/21 10:17,27.862
8/12/21 10:18,27.862
8/12/21 10:19,27.862
8/12/21 10:20,27.862
8/12/21 10:21,27.862
8/12/21 10:22,27.862
8/12/21 10:23,27.862
8/12/21 10:24,27.862
8/12/21 10:25,27.764
8/12/21 10:26,27.764
8/12/21 10:27,27.862
8/12/21 10:28,27.862
8/12/21 10:29,27.862
8/12/21 10:30,27.961
8/12/21 10:31,28.06
8/12/21 10:32,28.159
8/12/21 10:33,28.258
8/12/21 10:34,28.258
8/12/21 10:35,28.258
8/12/21 10:36,28.258
8/12/21 10:37,28.258
8/12/21 10:38,28.258
8/12/21 10:39,28.258
8/12/21 10:40,28.159
8/12/21 10:41,28.159
8/12/21 10:42,28.159
8/12/21 10:43,28.159
8/12/21 10:44,28.159
8/12/21 10:45,28.06
8/12/21 10:46,28.06
8/12/21 10:47,28.06
8/12/21 10:48,28.06
8/12/21 10:49,28.06
8/12/21 10:50,28.06
8/12/21 10:51,28.06
8/12/21 10:52,28.06
8/12/21 10:53,28.06
8/12/21 10:54,28.159
8/12/21 10:55,28.258
8/12/21 10:56,28.357
8/12/21 10:57,28.456
8/12/21 10:58,28.555
8/12/21 10:59,28.655
8/12/21 11:00,28.655
8/12/21 11:01,28.754
8/12/21 11:02,28.754
8/12/21 11:03,28.754
8/12/21 11:04,28.754
8/12/21 11:05,28.754
8/12/21 11:06,28.754
8/12/21 11:07,28.754
8/12/21 11:08,28.754
8/12/21 11:09,28.754
8/12/21 11:10,28.754
8/12/21 11:11,28.754
8/12/21 11:12,28.754
8/12/21 11:13,28.754
8/12/21 11:14,28.754
8/12/21 11:15,28.754
8/12/21 11:16,28.754
8/12/21 11:17,28.754
8/12/21 11:18,28.754
8/12/21 11:19,28.754
8/12/21 11:20,28.754
8/12/21 11:21,28.754
8/12/21 11:22,28.853
8/12/21 11:23,28.853
8/12/21 11:24,28.953
8/12/21 11:25,28.953
8/12/21 11:26,28.953
8/12/21 11:27,28.853
8/12/21 11:28,28.853
8/12/21 11:29,28.853
8/12/21 11:30,28.853
8/12/21 11:31,28.853
8/12/21 11:32,28.853
8/12/21 11:33,28.853
8/12/21 11:34,28.754
8/12/21 11:35,28.754
8/12/21 11:36,28.754
8/12/21 11:37,28.853
8/12/21 11:38,28.853
8/12/21 11:39,28.953
8/12/21 11:40,28.953
8/12/21 11:41,28.953
8/12/21 11:42,28.953
8/12/21 11:43,28.953
8/12/21 11:44,28.953
8/12/21 11:45,28.953
8/12/21 11:46,29.053
8/12/21 11:47,29.053
8/12/21 11:48,29.152
8/12/21 11:49,29.252
8/12/21 11:50,29.252
8/12/21 11:51,29.352
8/12/21 11:52,29.352
8/12/21 11:53,29.352
8/12/21 11:54,29.352
8/12/21 11:55,29.252
8/12/21 11:56,29.252
8/12/21 11:57,29.252
8/12/21 11:58,29.152
8/12/21 11:59,29.152
8/12/21 12:00,29.152
